BASKET_ITEM;YEAR;PRICE_INDEX
CC13-02124;2021;99,1
CC13-02124;2022;103,4
CC13-02124;2023;117,2
CC13-0213;2016;95,6
CC13-0213;2017;96,3
CC13-0213;2018;99,7
CC13-0213;2019;101,0
CC13-0213;2020;100,0
CC13-0213;2021;101,3
CC13-0213;2022;106,2
CC13-0213;2023;118,5
CC13-02131;2016;95,9
CC13-02131;2017;96,6
CC13-02131;2018;100,2
CC13-02131;2019;101,3
CC13-02131;2020;100,0
CC13-02131;2021;101,1
CC13-02131;2022;106,1
CC13-02131;2023;118,3
CC13-02132;2016;93,6
CC13-02132;2017;95,2
CC13-02132;2018;97,1
CC13-02132;2019;99,3
CC13-02132;2020;100,0
CC13-02132;2021;102,1
CC13-02132;2022;106,0
CC13-02132;2023;117,0
CC13-02133;2016;96,6
CC13-02133;2017;96,8
CC13-02133;2018;99,4
CC13-02133;2019;100,6
CC13-02133;2020;100,0
CC13-02133;2021;102,1
CC13-02133;2022;107,3
CC13-02133;2023;119,9
CC13-02134;2016;93,9
CC13-02134;2017;94,0
CC13-02134;2018;97,4
CC13-02134;2019;100,1
CC13-02134;2020;100,0
CC13-02134;2021;101,9
CC13-02134;2022;106,1
CC13-02134;2023;119,9
CC13-022;2016;85,8
CC13-022;2017;89,2
CC13-022;2018;92,6
CC13-022;2019;96,1
CC13-022;2020;100,0
CC13-022;2021;105,1
CC13-022;2022;109,3
CC13-022;2023;118,0
CC13-0220;2016;85,8
CC13-0220;2017;89,2
CC13-0220;2018;92,6
CC13-0220;2019;96,1
CC13-0220;2020;100,0
CC13-0220;2021;105,1
CC13-0220;2022;109,3
CC13-0220;2023;118,0
CC13-02201;2016;86,1
CC13-02201;2017;89,5
CC13-02201;2018;93,0
CC13-02201;2019;96,3
CC13-02201;2020;100,0
CC13-02201;2021;105,7
CC13-02201;2022;109,6
CC13-02201;2023;117,5
CC13-02202;2016;92,8
CC13-02202;2017;93,2
CC13-02202;2018;94,0
CC13-02202;2019;96,5
CC13-02202;2020;100,0
CC13-02202;2021;101,7
CC13-02202;2022;103,9
CC13-02202;2023;111,3
CC13-02203;2016;82,9
CC13-02203;2017;87,2
CC13-02203;2018;90,7
CC13-02203;2019;95,2
CC13-02203;2020;100,0
CC13-02203;2021;102,9
CC13-02203;2022;109,0
CC13-02203;2023;121,3
CC13-03;2016;99,5
CC13-03;2017;100,1
CC13-03;2018;100,4
CC13-03;2019;101,7
CC13-03;2020;100,0
CC13-03;2021;101,5
CC13-03;2022;102,3
CC13-03;2023;106,1
CC13-031;2016;98,7
CC13-031;2017;99,1
CC13-031;2018;99,3
CC13-031;2019;100,9
CC13-031;2020;100,0
CC13-031;2021;101,8
CC13-031;2022;102,6
CC13-031;2023;106,6
CC13-0311;2016;96,1
CC13-0311;2017;96,0
CC13-0311;2018;96,3
CC13-0311;2019;101,9
CC13-0311;2020;100,0
CC13-0311;2021;103,4
CC13-0311;2022;105,3
CC13-0311;2023;107,4
CC13-03110;2016;96,1
CC13-03110;2017;96,0
CC13-03110;2018;96,3
CC13-03110;2019;101,9
CC13-03110;2020;100,0
CC13-03110;2021;103,4
CC13-03110;2022;105,3
CC13-03110;2023;107,4
CC13-0312;2016;99,1
CC13-0312;2017;99,4
CC13-0312;2018;99,5
CC13-0312;2019;101,0
CC13-0312;2020;100,0
CC13-0312;2021;101,7
CC13-0312;2022;102,3
CC13-0312;2023;106,2
CC13-03121;2016;99,7
CC13-03121;2017;100,1
CC13-03121;2018;100,5
CC13-03121;2019;101,6
CC13-03121;2020;100,0
CC13-03121;2021;101,6
CC13-03121;2022;102,7
CC13-03121;2023;106,4
CC13-03122;2016;98,6
CC13-03122;2017;99,1
CC13-03122;2018;99,0
CC13-03122;2019;100,6
CC13-03122;2020;100,0
CC13-03122;2021;101,5
CC13-03122;2022;101,4
CC13-03122;2023;105,2
CC13-03123;2016;100,3
CC13-03123;2017;99,8
CC13-03123;2018;99,3
CC13-03123;2019;101,3
CC13-03123;2020;100,0
CC13-03123;2021;103,3
CC13-03123;2022;105,9
CC13-03123;2023;110,8
CC13-0313;2016;94,9
CC13-0313;2017;95,9
CC13-0313;2018;97,0
CC13-0313;2019;98,4
CC13-0313;2020;100,0
CC13-0313;2021;102,5
CC13-0313;2022;106,6
CC13-0313;2023;110,9
CC13-03131;2016;94,9
CC13-03131;2017;96,3
CC13-03131;2018;97,2
CC13-03131;2019;98,4
CC13-03131;2020;100,0
CC13-03131;2021;102,9
CC13-03131;2022;106,3
CC13-03131;2023;110,2
CC13-03132;2016;94,6
CC13-03132;2017;94,3
CC13-03132;2018;96,0
CC13-03132;2019;98,0
CC13-03132;2020;100,0
CC13-03132;2021;100,8
CC13-03132;2022;107,8
CC13-03132;2023;113,6
CC13-0314;2016;90,8
CC13-0314;2017;92,7
CC13-0314;2018;94,8
CC13-0314;2019;97,8
CC13-0314;2020;100,0
CC13-0314;2021;102,5
CC13-0314;2022;108,4
CC13-0314;2023;117,8
CC13-03141;2016;90,7
CC13-03141;2017;92,7
CC13-03141;2018;94,7
CC13-03141;2019;97,5
CC13-03141;2020;100,0
CC13-03141;2021;102,3
CC13-03141;2022;109,0
CC13-03141;2023;120,6
CC13-03142;2016;91,0
CC13-03142;2017;92,6
CC13-03142;2018;94,9
CC13-03142;2019;98,4
CC13-03142;2020;100,0
CC13-03142;2021;102,7
CC13-03142;2022;107,6
CC13-03142;2023;113,6
CC13-032;2016;99,2
CC13-032;2017;100,6
CC13-032;2018;101,5
CC13-032;2019;101,7
CC13-032;2020;100,0
CC13-032;2021;99,9
CC13-032;2022;100,5
CC13-032;2023;103,6
CC13-0321;2016;99,4
CC13-0321;2017;100,7
CC13-0321;2018;101,6
CC13-0321;2019;101,7
CC13-0321;2020;100,0
CC13-0321;2021;99,8
CC13-0321;2022;100,4
CC13-0321;2023;103,3
CC13-03211;2016;100,3
CC13-03211;2017;101,2
CC13-03211;2018;102,4
CC13-03211;2019;102,7
CC13-03211;2020;100,0
CC13-03211;2021;100,4
CC13-03211;2022;103,0
CC13-03211;2023;106,0
CC13-03212;2016;99,0
CC13-03212;2017;100,9
CC13-03212;2018;101,3
CC13-03212;2019;101,6
CC13-03212;2020;100,0
CC13-03212;2021;99,1
CC13-03212;2022;98,5
CC13-03212;2023;101,4
CC13-03213;2016;97,5
CC13-03213;2017;97,8
CC13-03213;2018;99,1
CC13-03213;2019;99,1
CC13-03213;2020;100,0
CC13-03213;2021;100,8
CC13-03213;2022;101,5
CC13-03213;2023;104,2
CC13-0322;2016;90,6
CC13-0322;2017;92,7
CC13-0322;2018;95,2
CC13-0322;2019;97,6
CC13-0322;2020;100,0
CC13-0322;2021;103,8
CC13-0322;2022;110,9
CC13-0322;2023;119,2
CC13-03220;2016;90,6
CC13-03220;2017;92,7
CC13-03220;2018;95,2
CC13-03220;2019;97,6
CC13-03220;2020;100,0
CC13-03220;2021;103,8
CC13-03220;2022;110,9
CC13-03220;2023;119,2
CC13-04;2016;94,3
CC13-04;2017;95,5
CC13-04;2018;97,2
CC13-04;2019;99,0
CC13-04;2020;100,0
CC13-04;2021;101,7
CC13-04;2022;109,1
CC13-04;2023;114,5
CC13-041;2016;94,6
CC13-041;2017;95,8
CC13-041;2018;97,2
CC13-041;2019;98,6
CC13-041;2020;100,0
CC13-041;2021;101,4
CC13-041;2022;103,1
CC13-041;2023;105,2
CC13-0411;2016;94,5
CC13-0411;2017;95,8
CC13-0411;2018;97,2
CC13-0411;2019;98,6
CC13-0411;2020;100,0
CC13-0411;2021;101,4
CC13-0411;2022;103,2
CC13-0411;2023;105,4
CC13-04110;2016;94,5
CC13-04110;2017;95,8
CC13-04110;2018;97,2
CC13-04110;2019;98,6
CC13-04110;2020;100,0
CC13-04110;2021;101,4
CC13-04110;2022;103,2
CC13-04110;2023;105,4
CC13-0412;2016;96,1
CC13-0412;2017;96,9
CC13-0412;2018;97,9
CC13-0412;2019;98,9
CC13-0412;2020;100,0
CC13-0412;2021;100,9
CC13-0412;2022;102,0
CC13-0412;2023;103,2
CC13-04122;2016;96,1
CC13-04122;2017;96,9
CC13-04122;2018;97,9
CC13-04122;2019;98,9
CC13-04122;2020;100,0
CC13-04122;2021;100,9
CC13-04122;2022;102,0
CC13-04122;2023;103,2
CC13-042;2016;-
CC13-042;2017;-
CC13-042;2018;-
CC13-042;2019;-
CC13-042;2020;100,0
CC13-042;2021;101,1
CC13-042;2022;102,6
CC13-042;2023;104,7
CC13-0421;2016;-
CC13-0421;2017;-
CC13-0421;2018;-
CC13-0421;2019;-
CC13-0421;2020;100,0
CC13-0421;2021;101,1
CC13-0421;2022;102,6
CC13-0421;2023;104,7
CC13-04210;2016;-
CC13-04210;2017;-
CC13-04210;2018;-
CC13-04210;2019;-
CC13-04210;2020;100,0
CC13-04210;2021;101,1
CC13-04210;2022;102,6
CC13-04210;2023;104,7
CC13-043;2016;91,0
CC13-043;2017;92,8
CC13-043;2018;95,4
CC13-043;2019;98,9
CC13-043;2020;100,0
CC13-043;2021;104,5
CC13-043;2022;116,3
CC13-043;2023;127,3
CC13-0431;2016;95,8
